1,Hydrogen,H
2,Helium,He
3,Lithium,L
4,Beryllium,Be
5,Boron,B
6,Carbon,C
7,Nitrogen,N
8,Oxygen,O
9,Fluorine,F
10,Neon,Ne
11,Sodium (Natrium),Na
12,Magnesium,Mg
13,Aluminium (Aluminum),Al
14,Silicon,Si
15,Phosphorus,P
16,Sulfur,S
17,Chlorine,Cl
19,Potassium (Kalium),K
18,Argon,Ar
20,Calcium,Ca
21,Scandium,Sc
22,Titanium,Ti
23,Vanadium,V
24,Chromium,Cr
25,Manganese,Mn
26,Iron (Ferrum),Fe
28,Nickel,Ni
27,Cobalt,Co
29,Copper (Cuprum),Cu
30,Zinc,Zn
31,Gallium,Ga
32,Germanium,Ge
33,Arsenic,As
34,Selenium,Se
35,Bromine,Br
36,Krypton,Kr
37,Rubidium,Rb
38,Strontium,Sr
39,Yttrium,Y
40,Zirconium,Zr
41,Niobium,Nb
42,Molybdenum,Mo
43,Technetium,Tc
44,Ruthenium,Ru
45,Rhodium,Rh
46,Palladium,Pd
47,Silver (Argentum),Ag
48,Cadmium,Cd
49,Indium,In
50,Tin (Stannum),Sn
51,Antimony (Stibium),Sb
52,Tellurium,Te
53,Iodine,I
54,Xenon,Xe
55,Caesium (Cesium),Cs
56,Barium,Ba
71,Lutetium,Lu
72,Hafnium,Hf
73,Tantalum,Ta
74,Tungsten (Wolfram),W
75,Rhenium,Re
76,Osmium,Os
77,Iridium,Ir
78,Platinum,Pt
79,Gold (Aurum),Au
80,Mercury (Hydrargyrum),Hg
81,Thallium,Tl
82,Lead (Plumbum),Pb
83,Bismuth,Bi
84,Polonium,Po
85,Astatine,At
86,Radon,Rn
87,Francium,Fr
88,Radium,Ra
103,Lawrencium,Lr
104,Rutherfordium,Rf
105,Dubnium,Db
106,Seaborgium,Sg
107,Bohrium,Bh
108,Hassium,Hs
109,Meitnerium,Mt
110,Darmstadtium,Ds
111,Roentgenium,Rg
112,Ununbium,Uub
113,Ununtrium,Uut
114,Ununquadium,Uuq
115,Ununpentium,Uup
116,Ununhexium,Uuh
118,Ununoctium,Uuo
